Symbol,avg_return,volatility,sharpe_ratio,price,forward_pe,div_yield,beta
MMM,0,0,-inf,0,0,0,1
AOS,0,0,-inf,0,0,0,1
ABT,0,0,-inf,0,0,0,1
ABBV,0,0,-inf,0,0,0,1
ACN,0,0,-inf,0,0,0,1
ATVI,0,0,-inf,0,0,0,1
ADM,0,0,-inf,0,0,0,1
ADBE,0,0,-inf,0,0,0,1
ADP,0,0,-inf,0,0,0,1
AAP,0,0,-inf,0,0,0,1
AES,0,0,-inf,0,0,0,1
AFL,0,0,-inf,0,0,0,1
A,0,0,-inf,0,0,0,1
APD,0,0,-inf,0,0,0,1
AKAM,0,0,-inf,0,0,0,1
ALK,0,0,-inf,0,0,0,1
ALB,0,0,-inf,0,0,0,1
ARE,0,0,-inf,0,0,0,1
ALGN,0,0,-inf,0,0,0,1
ALLE,0,0,-inf,0,0,0,1
LNT,0,0,-inf,0,0,0,1
ALL,0,0,-inf,0,0,0,1
GOOGL,0,0,-inf,0,0,0,1
GOOG,0,0,-inf,0,0,0,1
MO,0,0,-inf,0,0,0,1
AMZN,0,0,-inf,0,0,0,1
AMCR,0,0,-inf,0,0,0,1
AMD,0,0,-inf,0,0,0,1
AEE,0,0,-inf,0,0,0,1
AAL,0,0,-inf,0,0,0,1
AEP,0,0,-inf,0,0,0,1
AXP,0,0,-inf,0,0,0,1
AIG,0,0,-inf,0,0,0,1
AMT,0,0,-inf,0,0,0,1
AWK,0,0,-inf,0,0,0,1
AMP,0,0,-inf,0,0,0,1
ABC,0,0,-inf,0,0,0,1
AME,0,0,-inf,0,0,0,1
AMGN,0,0,-inf,0,0,0,1
APH,0,0,-inf,0,0,0,1
ADI,0,0,-inf,0,0,0,1
ANSS,0,0,-inf,0,0,0,1
AON,0,0,-inf,0,0,0,1
APA,0,0,-inf,0,0,0,1
AAPL,0,0,-inf,0,0,0,1
AMAT,0,0,-inf,0,0,0,1
APTV,0,0,-inf,0,0,0,1
ACGL,0,0,-inf,0,0,0,1
ANET,0,0,-inf,0,0,0,1
AJG,0,0,-inf,0,0,0,1
AIZ,0,0,-inf,0,0,0,1
T,0,0,-inf,0,0,0,1
ATO,0,0,-inf,0,0,0,1
ADSK,0,0,-inf,0,0,0,1
AZO,0,0,-inf,0,0,0,1
AVB,0,0,-inf,0,0,0,1
AVY,0,0,-inf,0,0,0,1
BKR,0,0,-inf,0,0,0,1
BALL,0,0,-inf,0,0,0,1
BAC,0,0,-inf,0,0,0,1
BBWI,0,0,-inf,0,0,0,1
BAX,0,0,-inf,0,0,0,1
BDX,0,0,-inf,0,0,0,1
WRB,0,0,-inf,0,0,0,1
BRK.B,0,0,-inf,0,0,0,1
BBY,0,0,-inf,0,0,0,1
BIO,0,0,-inf,0,0,0,1
TECH,0,0,-inf,0,0,0,1
BIIB,0,0,-inf,0,0,0,1
BLK,0,0,-inf,0,0,0,1
BK,0,0,-inf,0,0,0,1
BA,0,0,-inf,0,0,0,1
BKNG,0,0,-inf,0,0,0,1
BWA,0,0,-inf,0,0,0,1
BXP,0,0,-inf,0,0,0,1
BSX,0,0,-inf,0,0,0,1
BMY,0,0,-inf,0,0,0,1
AVGO,0,0,-inf,0,0,0,1
BR,0,0,-inf,0,0,0,1
BRO,0,0,-inf,0,0,0,1
BF.B,0,0,-inf,0,0,0,1
CHRW,0,0,-inf,0,0,0,1
CDNS,0,0,-inf,0,0,0,1
CZR,0,0,-inf,0,0,0,1
CPT,0,0,-inf,0,0,0,1
CPB,0,0,-inf,0,0,0,1
COF,0,0,-inf,0,0,0,1
CAH,0,0,-inf,0,0,0,1
KMX,0,0,-inf,0,0,0,1
CCL,0,0,-inf,0,0,0,1
CARR,0,0,-inf,0,0,0,1
CTLT,0,0,-inf,0,0,0,1
CAT,0,0,-inf,0,0,0,1
CBOE,0,0,-inf,0,0,0,1
CBRE,0,0,-inf,0,0,0,1
CDW,0,0,-inf,0,0,0,1
CE,0,0,-inf,0,0,0,1
CNC,0,0,-inf,0,0,0,1
CNP,0,0,-inf,0,0,0,1
CDAY,0,0,-inf,0,0,0,1
CF,0,0,-inf,0,0,0,1
CRL,0,0,-inf,0,0,0,1
SCHW,0,0,-inf,0,0,0,1
CHTR,0,0,-inf,0,0,0,1
CVX,0,0,-inf,0,0,0,1
CMG,0,0,-inf,0,0,0,1
CB,0,0,-inf,0,0,0,1
CHD,0,0,-inf,0,0,0,1
CI,0,0,-inf,0,0,0,1
CINF,0,0,-inf,0,0,0,1
CTAS,0,0,-inf,0,0,0,1
CSCO,0,0,-inf,0,0,0,1
C,0,0,-inf,0,0,0,1
CFG,0,0,-inf,0,0,0,1
CLX,0,0,-inf,0,0,0,1
CME,0,0,-inf,0,0,0,1
CMS,0,0,-inf,0,0,0,1
KO,0,0,-inf,0,0,0,1
CTSH,0,0,-inf,0,0,0,1
CL,0,0,-inf,0,0,0,1
CMCSA,0,0,-inf,0,0,0,1
CMA,0,0,-inf,0,0,0,1
CAG,0,0,-inf,0,0,0,1
COP,0,0,-inf,0,0,0,1
ED,0,0,-inf,0,0,0,1
STZ,0,0,-inf,0,0,0,1
CEG,0,0,-inf,0,0,0,1
COO,0,0,-inf,0,0,0,1
CPRT,0,0,-inf,0,0,0,1
GLW,0,0,-inf,0,0,0,1
CTVA,0,0,-inf,0,0,0,1
CSGP,0,0,-inf,0,0,0,1
COST,0,0,-inf,0,0,0,1
CTRA,0,0,-inf,0,0,0,1
CCI,0,0,-inf,0,0,0,1
CSX,0,0,-inf,0,0,0,1
CMI,0,0,-inf,0,0,0,1
CVS,0,0,-inf,0,0,0,1
DHI,0,0,-inf,0,0,0,1
DHR,0,0,-inf,0,0,0,1
DRI,0,0,-inf,0,0,0,1
DVA,0,0,-inf,0,0,0,1
DE,0,0,-inf,0,0,0,1
DAL,0,0,-inf,0,0,0,1
XRAY,0,0,-inf,0,0,0,1
DVN,0,0,-inf,0,0,0,1
DXCM,0,0,-inf,0,0,0,1
FANG,0,0,-inf,0,0,0,1
DLR,0,0,-inf,0,0,0,1
DFS,0,0,-inf,0,0,0,1
DISH,0,0,-inf,0,0,0,1
DIS,0,0,-inf,0,0,0,1
DG,0,0,-inf,0,0,0,1
DLTR,0,0,-inf,0,0,0,1
D,0,0,-inf,0,0,0,1
DPZ,0,0,-inf,0,0,0,1
DOV,0,0,-inf,0,0,0,1
DOW,0,0,-inf,0,0,0,1
DTE,0,0,-inf,0,0,0,1
DUK,0,0,-inf,0,0,0,1
DD,0,0,-inf,0,0,0,1
DXC,0,0,-inf,0,0,0,1
EMN,0,0,-inf,0,0,0,1
ETN,0,0,-inf,0,0,0,1
EBAY,0,0,-inf,0,0,0,1
ECL,0,0,-inf,0,0,0,1
EIX,0,0,-inf,0,0,0,1
EW,0,0,-inf,0,0,0,1
EA,0,0,-inf,0,0,0,1
ELV,0,0,-inf,0,0,0,1
LLY,0,0,-inf,0,0,0,1
EMR,0,0,-inf,0,0,0,1
ENPH,0,0,-inf,0,0,0,1
ETR,0,0,-inf,0,0,0,1
EOG,0,0,-inf,0,0,0,1
EPAM,0,0,-inf,0,0,0,1
EQT,0,0,-inf,0,0,0,1
EFX,0,0,-inf,0,0,0,1
EQIX,0,0,-inf,0,0,0,1
EQR,0,0,-inf,0,0,0,1
ESS,0,0,-inf,0,0,0,1
EL,0,0,-inf,0,0,0,1
ETSY,0,0,-inf,0,0,0,1
RE,0,0,-inf,0,0,0,1
EVRG,0,0,-inf,0,0,0,1
ES,0,0,-inf,0,0,0,1
EXC,0,0,-inf,0,0,0,1
EXPE,0,0,-inf,0,0,0,1
EXPD,0,0,-inf,0,0,0,1
EXR,0,0,-inf,0,0,0,1
XOM,0,0,-inf,0,0,0,1
FFIV,0,0,-inf,0,0,0,1
FDS,0,0,-inf,0,0,0,1
FAST,0,0,-inf,0,0,0,1
FRT,0,0,-inf,0,0,0,1
FDX,0,0,-inf,0,0,0,1
FITB,0,0,-inf,0,0,0,1
FRC,0,0,-inf,0,0,0,1
FSLR,0,0,-inf,0,0,0,1
FE,0,0,-inf,0,0,0,1
FIS,0,0,-inf,0,0,0,1
FISV,0,0,-inf,0,0,0,1
FLT,0,0,-inf,0,0,0,1
FMC,0,0,-inf,0,0,0,1
F,0,0,-inf,0,0,0,1
FTNT,0,0,-inf,0,0,0,1
FTV,0,0,-inf,0,0,0,1
FOXA,0,0,-inf,0,0,0,1
FOX,0,0,-inf,0,0,0,1
BEN,0,0,-inf,0,0,0,1
FCX,0,0,-inf,0,0,0,1
GRMN,0,0,-inf,0,0,0,1
IT,0,0,-inf,0,0,0,1
GEHC,0,0,-inf,0,0,0,1
GEN,0,0,-inf,0,0,0,1
GNRC,0,0,-inf,0,0,0,1
GD,0,0,-inf,0,0,0,1
GE,0,0,-inf,0,0,0,1
GIS,0,0,-inf,0,0,0,1
GM,0,0,-inf,0,0,0,1
GPC,0,0,-inf,0,0,0,1
GILD,0,0,-inf,0,0,0,1
GL,0,0,-inf,0,0,0,1
GPN,0,0,-inf,0,0,0,1
GS,0,0,-inf,0,0,0,1
HAL,0,0,-inf,0,0,0,1
HIG,0,0,-inf,0,0,0,1
HAS,0,0,-inf,0,0,0,1
HCA,0,0,-inf,0,0,0,1
PEAK,0,0,-inf,0,0,0,1
HSIC,0,0,-inf,0,0,0,1
HSY,0,0,-inf,0,0,0,1
HES,0,0,-inf,0,0,0,1
HPE,0,0,-inf,0,0,0,1
HLT,0,0,-inf,0,0,0,1
HOLX,0,0,-inf,0,0,0,1
HD,0,0,-inf,0,0,0,1
HON,0,0,-inf,0,0,0,1
HRL,0,0,-inf,0,0,0,1
HST,0,0,-inf,0,0,0,1
HWM,0,0,-inf,0,0,0,1
HPQ,0,0,-inf,0,0,0,1
HUM,0,0,-inf,0,0,0,1
HBAN,0,0,-inf,0,0,0,1
HII,0,0,-inf,0,0,0,1
IBM,0,0,-inf,0,0,0,1
IEX,0,0,-inf,0,0,0,1
IDXX,0,0,-inf,0,0,0,1
ITW,0,0,-inf,0,0,0,1
ILMN,0,0,-inf,0,0,0,1
INCY,0,0,-inf,0,0,0,1
IR,0,0,-inf,0,0,0,1
INTC,0,0,-inf,0,0,0,1
ICE,0,0,-inf,0,0,0,1
IP,0,0,-inf,0,0,0,1
IPG,0,0,-inf,0,0,0,1
IFF,0,0,-inf,0,0,0,1
INTU,0,0,-inf,0,0,0,1
ISRG,0,0,-inf,0,0,0,1
IVZ,0,0,-inf,0,0,0,1
INVH,0,0,-inf,0,0,0,1
IQV,0,0,-inf,0,0,0,1
IRM,0,0,-inf,0,0,0,1
JBHT,0,0,-inf,0,0,0,1
JKHY,0,0,-inf,0,0,0,1
J,0,0,-inf,0,0,0,1
JNJ,0,0,-inf,0,0,0,1
JCI,0,0,-inf,0,0,0,1
JPM,0,0,-inf,0,0,0,1
JNPR,0,0,-inf,0,0,0,1
K,0,0,-inf,0,0,0,1
KDP,0,0,-inf,0,0,0,1
KEY,0,0,-inf,0,0,0,1
KEYS,0,0,-inf,0,0,0,1
KMB,0,0,-inf,0,0,0,1
KIM,0,0,-inf,0,0,0,1
KMI,0,0,-inf,0,0,0,1
KLAC,0,0,-inf,0,0,0,1
KHC,0,0,-inf,0,0,0,1
KR,0,0,-inf,0,0,0,1
LHX,0,0,-inf,0,0,0,1
LH,0,0,-inf,0,0,0,1
LRCX,0,0,-inf,0,0,0,1
LW,0,0,-inf,0,0,0,1
LVS,0,0,-inf,0,0,0,1
LDOS,0,0,-inf,0,0,0,1
LEN,0,0,-inf,0,0,0,1
LNC,0,0,-inf,0,0,0,1
LIN,0,0,-inf,0,0,0,1
LYV,0,0,-inf,0,0,0,1
LKQ,0,0,-inf,0,0,0,1
LMT,0,0,-inf,0,0,0,1
L,0,0,-inf,0,0,0,1
LOW,0,0,-inf,0,0,0,1
LUMN,0,0,-inf,0,0,0,1
LYB,0,0,-inf,0,0,0,1
MTB,0,0,-inf,0,0,0,1
MRO,0,0,-inf,0,0,0,1
MPC,0,0,-inf,0,0,0,1
MKTX,0,0,-inf,0,0,0,1
MAR,0,0,-inf,0,0,0,1
MMC,0,0,-inf,0,0,0,1
MLM,0,0,-inf,0,0,0,1
MAS,0,0,-inf,0,0,0,1
MA,0,0,-inf,0,0,0,1
MTCH,0,0,-inf,0,0,0,1
MKC,0,0,-inf,0,0,0,1
MCD,0,0,-inf,0,0,0,1
MCK,0,0,-inf,0,0,0,1
MDT,0,0,-inf,0,0,0,1
MRK,0,0,-inf,0,0,0,1
META,0,0,-inf,0,0,0,1
MET,0,0,-inf,0,0,0,1
MTD,0,0,-inf,0,0,0,1
MGM,0,0,-inf,0,0,0,1
MCHP,0,0,-inf,0,0,0,1
MU,0,0,-inf,0,0,0,1
MSFT,0,0,-inf,0,0,0,1
MAA,0,0,-inf,0,0,0,1
MRNA,0,0,-inf,0,0,0,1
MHK,0,0,-inf,0,0,0,1
MOH,0,0,-inf,0,0,0,1
TAP,0,0,-inf,0,0,0,1
MDLZ,0,0,-inf,0,0,0,1
MPWR,0,0,-inf,0,0,0,1
MNST,0,0,-inf,0,0,0,1
MCO,0,0,-inf,0,0,0,1
MS,0,0,-inf,0,0,0,1
MOS,0,0,-inf,0,0,0,1
MSI,0,0,-inf,0,0,0,1
MSCI,0,0,-inf,0,0,0,1
NDAQ,0,0,-inf,0,0,0,1
NTAP,0,0,-inf,0,0,0,1
NFLX,0,0,-inf,0,0,0,1
NWL,0,0,-inf,0,0,0,1
NEM,0,0,-inf,0,0,0,1
NWSA,0,0,-inf,0,0,0,1
NWS,0,0,-inf,0,0,0,1
NEE,0,0,-inf,0,0,0,1
NKE,0,0,-inf,0,0,0,1
NI,0,0,-inf,0,0,0,1
NDSN,0,0,-inf,0,0,0,1
NSC,0,0,-inf,0,0,0,1
NTRS,0,0,-inf,0,0,0,1
NOC,0,0,-inf,0,0,0,1
NCLH,0,0,-inf,0,0,0,1
NRG,0,0,-inf,0,0,0,1
NUE,0,0,-inf,0,0,0,1
NVDA,0,0,-inf,0,0,0,1
NVR,0,0,-inf,0,0,0,1
NXPI,0,0,-inf,0,0,0,1
ORLY,0,0,-inf,0,0,0,1
OXY,0,0,-inf,0,0,0,1
ODFL,0,0,-inf,0,0,0,1
OMC,0,0,-inf,0,0,0,1
ON,0,0,-inf,0,0,0,1
OKE,0,0,-inf,0,0,0,1
ORCL,0,0,-inf,0,0,0,1
OGN,0,0,-inf,0,0,0,1
OTIS,0,0,-inf,0,0,0,1
PCAR,0,0,-inf,0,0,0,1
PKG,0,0,-inf,0,0,0,1
PARA,0,0,-inf,0,0,0,1
PH,0,0,-inf,0,0,0,1
PAYX,0,0,-inf,0,0,0,1
PAYC,0,0,-inf,0,0,0,1
PYPL,0,0,-inf,0,0,0,1
PNR,0,0,-inf,0,0,0,1
PEP,0,0,-inf,0,0,0,1
PKI,0,0,-inf,0,0,0,1
PFE,0,0,-inf,0,0,0,1
PCG,0,0,-inf,0,0,0,1
PM,0,0,-inf,0,0,0,1
PSX,0,0,-inf,0,0,0,1
PNW,0,0,-inf,0,0,0,1
PXD,0,0,-inf,0,0,0,1
PNC,0,0,-inf,0,0,0,1
POOL,0,0,-inf,0,0,0,1
PPG,0,0,-inf,0,0,0,1
PPL,0,0,-inf,0,0,0,1
PFG,0,0,-inf,0,0,0,1
PG,0,0,-inf,0,0,0,1
PGR,0,0,-inf,0,0,0,1
PLD,0,0,-inf,0,0,0,1
PRU,0,0,-inf,0,0,0,1
PEG,0,0,-inf,0,0,0,1
PTC,0,0,-inf,0,0,0,1
PSA,0,0,-inf,0,0,0,1
PHM,0,0,-inf,0,0,0,1
QRVO,0,0,-inf,0,0,0,1
PWR,0,0,-inf,0,0,0,1
QCOM,0,0,-inf,0,0,0,1
DGX,0,0,-inf,0,0,0,1
RL,0,0,-inf,0,0,0,1
RJF,0,0,-inf,0,0,0,1
RTX,0,0,-inf,0,0,0,1
O,0,0,-inf,0,0,0,1
REG,0,0,-inf,0,0,0,1
REGN,0,0,-inf,0,0,0,1
RF,0,0,-inf,0,0,0,1
RSG,0,0,-inf,0,0,0,1
RMD,0,0,-inf,0,0,0,1
RHI,0,0,-inf,0,0,0,1
ROK,0,0,-inf,0,0,0,1
ROL,0,0,-inf,0,0,0,1
ROP,0,0,-inf,0,0,0,1
ROST,0,0,-inf,0,0,0,1
RCL,0,0,-inf,0,0,0,1
SPGI,0,0,-inf,0,0,0,1
CRM,0,0,-inf,0,0,0,1
SBAC,0,0,-inf,0,0,0,1
SLB,0,0,-inf,0,0,0,1
STX,0,0,-inf,0,0,0,1
SEE,0,0,-inf,0,0,0,1
SRE,0,0,-inf,0,0,0,1
NOW,0,0,-inf,0,0,0,1
SHW,0,0,-inf,0,0,0,1
SBNY,0,0,-inf,0,0,0,1
SPG,0,0,-inf,0,0,0,1
SWKS,0,0,-inf,0,0,0,1
SJM,0,0,-inf,0,0,0,1
SNA,0,0,-inf,0,0,0,1
SEDG,0,0,-inf,0,0,0,1
SO,0,0,-inf,0,0,0,1
LUV,0,0,-inf,0,0,0,1
SWK,0,0,-inf,0,0,0,1
SBUX,0,0,-inf,0,0,0,1
STT,0,0,-inf,0,0,0,1
STLD,0,0,-inf,0,0,0,1
STE,0,0,-inf,0,0,0,1
SYK,0,0,-inf,0,0,0,1
SIVB,0,0,-inf,0,0,0,1
SYF,0,0,-inf,0,0,0,1
SNPS,0,0,-inf,0,0,0,1
SYY,0,0,-inf,0,0,0,1
TMUS,0,0,-inf,0,0,0,1
TROW,0,0,-inf,0,0,0,1
TTWO,0,0,-inf,0,0,0,1
TPR,0,0,-inf,0,0,0,1
TRGP,0,0,-inf,0,0,0,1
TGT,0,0,-inf,0,0,0,1
TEL,0,0,-inf,0,0,0,1
TDY,0,0,-inf,0,0,0,1
TFX,0,0,-inf,0,0,0,1
TER,0,0,-inf,0,0,0,1
TSLA,0,0,-inf,0,0,0,1
TXN,0,0,-inf,0,0,0,1
TXT,0,0,-inf,0,0,0,1
TMO,0,0,-inf,0,0,0,1
TJX,0,0,-inf,0,0,0,1
TSCO,0,0,-inf,0,0,0,1
TT,0,0,-inf,0,0,0,1
TDG,0,0,-inf,0,0,0,1
TRV,0,0,-inf,0,0,0,1
TRMB,0,0,-inf,0,0,0,1
TFC,0,0,-inf,0,0,0,1
TYL,0,0,-inf,0,0,0,1
TSN,0,0,-inf,0,0,0,1
USB,0,0,-inf,0,0,0,1
UDR,0,0,-inf,0,0,0,1
ULTA,0,0,-inf,0,0,0,1
UNP,0,0,-inf,0,0,0,1
UAL,0,0,-inf,0,0,0,1
UPS,0,0,-inf,0,0,0,1
URI,0,0,-inf,0,0,0,1
UNH,0,0,-inf,0,0,0,1
UHS,0,0,-inf,0,0,0,1
VLO,0,0,-inf,0,0,0,1
VTR,0,0,-inf,0,0,0,1
VRSN,0,0,-inf,0,0,0,1
VRSK,0,0,-inf,0,0,0,1
VZ,0,0,-inf,0,0,0,1
VRTX,0,0,-inf,0,0,0,1
VFC,0,0,-inf,0,0,0,1
VTRS,0,0,-inf,0,0,0,1
VICI,0,0,-inf,0,0,0,1
V,0,0,-inf,0,0,0,1
VMC,0,0,-inf,0,0,0,1
WAB,0,0,-inf,0,0,0,1
WBA,0,0,-inf,0,0,0,1
WMT,0,0,-inf,0,0,0,1
WBD,0,0,-inf,0,0,0,1
WM,0,0,-inf,0,0,0,1
WAT,0,0,-inf,0,0,0,1
WEC,0,0,-inf,0,0,0,1
WFC,0,0,-inf,0,0,0,1
WELL,0,0,-inf,0,0,0,1
WST,0,0,-inf,0,0,0,1
WDC,0,0,-inf,0,0,0,1
WRK,0,0,-inf,0,0,0,1
WY,0,0,-inf,0,0,0,1
WHR,0,0,-inf,0,0,0,1
WMB,0,0,-inf,0,0,0,1
WTW,0,0,-inf,0,0,0,1
GWW,0,0,-inf,0,0,0,1
WYNN,0,0,-inf,0,0,0,1
XEL,0,0,-inf,0,0,0,1
XYL,0,0,-inf,0,0,0,1
YUM,0,0,-inf,0,0,0,1
ZBRA,0,0,-inf,0,0,0,1
ZBH,0,0,-inf,0,0,0,1
ZION,0,0,-inf,0,0,0,1
ZTS,0,0,-inf,0,0,0,1
